"location","cause","year","val"
"Finland","Cardiovascular diseases",2021,26278.1423933683
"Finland","Neoplasms",2021,15072.4655518538
"Finland","Neurological disorders",2021,5087.07802507238
"France","Neoplasms",2020,199895.711773943
"France","Cardiovascular diseases",2020,170243.640164128
"France","Neurological disorders",2020,63743.8309834121
"France","Neoplasms",2021,202728.651473018
"France","Cardiovascular diseases",2021,176097.23534912
"France","Neurological disorders",2021,66207.1119410029
"Gabon","Cardiovascular diseases",2020,2564.94042208607
"Gabon","Neoplasms",2020,1472.63064578799
"Gabon","Respiratory infections and tuberculosis",2020,1096.89226874441
"Gabon","Cardiovascular diseases",2021,2614.87641889642
"Gabon","Neoplasms",2021,1523.05820284004
"Gabon","Respiratory infections and tuberculosis",2021,1063.36521548262
"Gambia","Cardiovascular diseases",2020,2669.78427248648
"Gambia","Respiratory infections and tuberculosis",2020,1907.43096414319
"Gambia","Maternal and neonatal disorders",2020,1327.56659844911
"Gambia","Cardiovascular diseases",2021,2754.78617737382
"Gambia","Respiratory infections and tuberculosis",2021,1899.23654079742
"Gambia","Maternal and neonatal disorders",2021,1259.73285326458
"Georgia","Cardiovascular diseases",2020,27815.3482251729
"Georgia","Neoplasms",2020,8042.79255419417
"Georgia","Digestive diseases",2020,2166.23418082127
"Georgia","Cardiovascular diseases",2021,27195.8855249018
"Georgia","Neoplasms",2021,7758.86172838261
"Georgia","Digestive diseases",2021,2145.24020514011
"Germany","Cardiovascular diseases",2020,384448.14925265
"Germany","Neoplasms",2020,263426.22169592
"Germany","Neurological disorders",2020,74758.7012206028
"Germany","Cardiovascular diseases",2021,398848.828733867
"Germany","Neoplasms",2021,262796.478508767
"Germany","Neurological disorders",2021,77840.2228723447
"Ghana","Cardiovascular diseases",2020,40173.8306684048
"Ghana","Respiratory infections and tuberculosis",2020,26031.2457803672
"Ghana","Neoplasms",2020,19717.625186519
"Ghana","Cardiovascular diseases",2021,40913.9402275012
"Ghana","Respiratory infections and tuberculosis",2021,25221.2942805687
"Ghana","Neoplasms",2021,20695.6162490135
"Greece","Cardiovascular diseases",2020,56599.7901082729
"Greece","Neoplasms",2020,35549.2255030756
"Greece","Neurological disorders",2020,9861.70592105911
"Greece","Cardiovascular diseases",2021,58825.7699124912
"Greece","Neoplasms",2021,36144.8119165956
"Greece","Neurological disorders",2021,10376.5233238495
"Greenland","Neoplasms",2020,159.615588446287
"Greenland","Cardiovascular diseases",2020,131.210457428555
"Greenland","Self-harm and interpersonal violence",2020,38.4777583437086
"Greenland","Neoplasms",2021,162.810512588384
"Greenland","Cardiovascular diseases",2021,136.969570647461
"Greenland","Self-harm and interpersonal violence",2021,37.7376335447177
"Grenada","Cardiovascular diseases",2020,269.826866644827
"Grenada","Neoplasms",2020,187.645717195653
"Grenada","Diabetes and kidney diseases",2020,123.977065435039
"Grenada","Cardiovascular diseases",2021,274.984834064524
"Grenada","Neoplasms",2021,190.500806860569
"Grenada","Diabetes and kidney diseases",2021,125.229446221495
"Guam","Cardiovascular diseases",2020,504.551030223173
"Guam","Neoplasms",2020,216.503728577611
"Guam","Diabetes and kidney diseases",2020,106.672561865196
"Guam","Cardiovascular diseases",2021,528.629941933662
"Guam","Neoplasms",2021,224.014160897789
"Guam","Diabetes and kidney diseases",2021,110.929840286927
"Guatemala","Cardiovascular diseases",2020,17108.2055605767
"Guatemala","Diabetes and kidney diseases",2020,13315.3996425903
"Guatemala","Neoplasms",2020,12501.1828729316
"Guatemala","Cardiovascular diseases",2021,17928.9081519878
"Guatemala","Diabetes and kidney diseases",2021,13628.9777723357
"Guatemala","Neoplasms",2021,12688.8094646146
"Guinea","Respiratory infections and tuberculosis",2020,19130.9979072266
"Guinea","Cardiovascular diseases",2020,14491.4894666577
"Guinea","Maternal and neonatal disorders",2020,13785.0961493239
"Guinea","Respiratory infections and tuberculosis",2021,19213.4352997242
"Guinea","Cardiovascular diseases",2021,14355.0736302039
"Guinea","Maternal and neonatal disorders",2021,14034.6875665718
"Guinea-Bissau","Cardiovascular diseases",2020,2230.57025306718
"Guinea-Bissau","Respiratory infections and tuberculosis",2020,1810.86466333079
"Guinea-Bissau","Maternal and neonatal disorders",2020,1589.77805773002
"Guinea-Bissau","Cardiovascular diseases",2021,2249.30011933344
"Guinea-Bissau","Respiratory infections and tuberculosis",2021,1773.60478702743
"Guinea-Bissau","Maternal and neonatal disorders",2021,1500.466967278
"Guyana","Cardiovascular diseases",2020,2484.69776793337
"Guyana","Diabetes and kidney diseases",2020,854.996276127894
"Guyana","Neoplasms",2020,794.862468661991
"Guyana","Cardiovascular diseases",2021,2522.03286675514
"Guyana","Diabetes and kidney diseases",2021,868.391970657675
"Guyana","Neoplasms",2021,811.007220823643
"Haiti","Cardiovascular diseases",2020,26841.1548300281
"Haiti","Neoplasms",2020,10688.5533427357
"Haiti","Respiratory infections and tuberculosis",2020,7610.9017222692
"Haiti","Cardiovascular diseases",2021,27316.3581760312
"Haiti","Neoplasms",2021,10919.194326018
"Haiti","Respiratory infections and tuberculosis",2021,7489.683961125
"Honduras","Cardiovascular diseases",2020,16099.5487143382
"Honduras","Neoplasms",2020,8248.53540182432
"Honduras","Digestive diseases",2020,5992.21562707438
"Honduras","Cardiovascular diseases",2021,16698.8706993832
"Honduras","Neoplasms",2021,8561.64653042777
"Honduras","Digestive diseases",2021,6160.75310402707
"Hungary","Cardiovascular diseases",2020,63656.391913956
"Hungary","Neoplasms",2020,33430.0438115383
"Hungary","Digestive diseases",2020,6850.29671661082
"Hungary","Cardiovascular diseases",2021,64692.8417185973
"Hungary","Neoplasms",2021,33102.3301360565
"Hungary","Digestive diseases",2021,7142.21595795967
"Iceland","Cardiovascular diseases",2020,737.432347172555
"Iceland","Neoplasms",2020,647.514290819363
"Iceland","Neurological disorders",2020,219.022476736928
"Iceland","Cardiovascular diseases",2021,758.152701962752
"Iceland","Neoplasms",2021,652.914201846246
"Iceland","Neurological disorders",2021,225.714957412272
"India","Cardiovascular diseases",2020,2684367.85550413
"India","Chronic respiratory diseases",2020,1217445.45409059
"India","Neoplasms",2020,982211.092718458
